feature,importance
amount,4467
amount_ratio,3980
avg_transaction,3555
mcc,2623
device_id,2441
location,1925
merchant,1839
account_age_days,1437
signal_night_transaction,1346
hour,1103
signal_velocity_10min_high,946
signal_high_risk_merchant,884
is_small_amount,775
signal_high_risk_mcc,698
signal_device_change,547
signal_amount_anomaly_3x,485
signal_amount_anomaly_5x,469
is_frequent_traveler,463
signal_velocity_1h_high,310
is_round_amount,295
signal_geo_anomaly,261
is_home_country,128
day_of_week,0
is_weekend,0
is_night,0
signal_new_account,0
currency,0
